nohaaa,2a5eraaan
Bouna festa <3 :-D,aiwa y3ni 3aiza eh
Leh hsaki fl sora k2nha shylakii,W entii mtsh3la2a fiha
Mtsh3la2a fiha leehh,?
3shan msh aiza asebha ,Allahh yrhaamm lma kontii msh bte2ihaa
Babayen kda Bas,Haha
Hahaha,2al ya3nii bt7biha w kda
Bi2olo enaha okhti w kda,Hahahaa
Mozaaaa sabahoooo,Yakhtiiii mech kedaa
Bahawel arabii ezayy wana bakteb msg,:)
:),:)
ba3d mate3meli zorar el ters elli 3al shemal,Mozaa mana mama 2aletliii keda andaha samsung
Bas ala el space bae andaha ashom fa harakethaa,Ana ma3andish el ashom dih aaslannn
Mech fahmaa,7atlobek w afahemek yakhtiyyy
:),wnte taiba mawaaaaaaaaaaaaaaaaaaaaaaaaah
Kuuul Sana Wntuu Taybeen <3,M7dsh Yz3al Mennyy x Haga .. I'm Sry M3 Enyy 3arfaa Enii Gamilaa w Msh Bzz3aal Had ;;) :$
wnte tibaaaaaaa mozty nte wallhi wasila w7abibty mawaaaaaaaaaaah etbasty b2a,:* :*
Hayatiiii,Have Fun B2a w Kdaa :*
nonn kol sana wenty tyba w gameela ya om y7aia,w enty tybaaa ya 7obby yaaa rb <3
A da,Aywa I mean fee fr2 gowa
Mana bshof now,Meen kan fl soora?
Noha w kda ,Hahahahaha 
Helw,Ana asln 7elwa
A 7t3mli a today,Eftriii yala
entyyy fiiin,wahshtinii awii
erg3ii baaa,Ana home 
Arg3 feen,Hahah
Enti kman wahshani,hahahahha
i mean erg3y hayaty,yessss baybayy isa
Karato eh,Msh adra a2ra kol da
bessa s,bs mah arfa emta lessa
msh arfa hehehh,hahahahhahah
ayza aruh k nada,wahshtni
Lsa rg3a mnn andaha,Lazm nzabat day kda isa
yaaaaa,ayza ashufff nadaaaa
Hahahaha,Blma3la2a
Doody 3ndoko,?
Ento lesa Henak?,Kan lsa fee 7tet Ana 3yz floos
Hahaha,Da movie eh asln
Msr7yt motazawegoon,Ali gatlo visa?
Msh arfa,:/
Aleeha eh,Kan fee 7azemni yah
A r2yk bs fl b3taha,Mummi bt2olik amaaar
Olilha 5elfetha,Yala
Walid qarr ynot ,W Bakr yt7awel
Waw*,Hahah
Kameli,Ha
Shabah Teta awi Ana Hena,Helwa el pics
I layek,Lsa bDri 
Kam wahda homa,Fe lia Ai pic menhom?? 
Warini Ai sehna,Ok ed3i awsl abl manam
Haha,Tomorrow b2a cuz fayaat
Have a safe trip dudz,Aaa wslto???
Alooo,Wlyaaaa
Woohoo mabrook,Hasaha Madrid awi
Haha,Bas Ana w Mummi msh adrin
Bn3ml shopping bl3afia,Rwhna hotel now m2antakheen
Hahahahaha,Msh adrin
Gebto 7aga?,Rafaye3 
Bas msh my rafaye3 awi,Tb e7l
Hahaha zy a?,La2et rouge matte 
Latina prices msh wehsha,Tb kwys kam t2riban :D
Alooooo,El eh bzbt?
Rouge msln,Et3akest kal3ada 
Wl tani b 2,1.69 
Wl mascara b 2.75,A tabiiii
Eh?,A tani*
Aiza bejat wala pink?,Show me l gebtih Kda
3adjii,1 beij
El tiger di 3yat lama shoftaha,A Tani?
La2aaaaa ,MSH kont b2et 7amel f bent 
Enti 7mwtk,Y3ni vitamin water w Haagen dazs f Yom wa7d 
Ban 3andek?,Baba
Yea,Leh bet3ayty
B3yt 3shan Haagen dazs w vitamin water,Bkam l shoes 
??,Haver
Hahahahaha,Gaber
A Tani,La2ety a Tani
7tnami wla a,Ana bhawel Bas lsa shwia
Enti bt3mli eh,Da5la a shower
Mommy Gmbk?,Yes bs namt
7asa b far2 we7na MSH m3aki,Ana now msh hasa b Ai haga 
Msh naimaaaa,Hahaha akid
Ahe,7lwa germania
Germania ah,Hahah
Helwa awi Bas Ana msh hasa Beeha brdo,Hahahahaha 
Ana 3yza anam,Wana yala bena
Ashan a3rf asha,Night ya5tshi
Gayenlik tom ,Mnn gheeri
Yeas isaa ,Call me lama yeego aslm aleeko 
Viber,Olt I'll Bakr
Oltlo yesterday,M3aki nemeret 3amo 5a f Dubai?
Alek eh,Ok 7yro7lo isaa
Bt3mlo a,Ask mom l mobile et5bt menha??
Meen alek ?,Papi wala uncle khaled?
Yarab ashofk,:)
Zoftaa,Hatroo7y el koleya bokra? ?
IsAllah,El sa3a kam
11?,Gameel gdn ha3ady 3aleiky 10:45
3ashn far2 el taw2eet bas enty 3arfa ba2a ,Ok
Farida,Alooo
Nada,Fainek?
Bet,Wlyaaa
Ana get,B2olek mommy Gmbk?
Ya Wlya,Doodi andik?
Meen andik?,Nnzl in now Aho
Mommy now Amir agaza Mel sho3'l till Tuesday,Ynzl Wednesday isaa
Meen andik,Mummi bt2olik o3odi Enti kman
W rohi Tuesday,Om Mohamed gialik tom
W if you want om Amira Monday,Ahmed ando bokra exam?
A 3mlto a today,A daa
Fe Ai haga mmkn t imagine,Gowa a. 
Kol haga,W Ai haga
Esmo aaa,W rafaye3 ya nada
Yanhar ,Kolo taht 20 
yaani msln,Bag Raghda el Zara el black
Hia gaibaha bkam,400
Show me Gebti a,L tshirt l fl pic da gdeed sa7
Mummi bt2olik Enti feen,Nzlna ry7in l Papy Aho
Bkam,Yes gdid
I layet,Enti oli 
7a2oll leeh ,777di bag msh shirt!
Yaani law had sa2al,Arbti
Swirili kol l gebtih,Hahaha
W la2et el boot el aizaha ,Rain boots w f nafs wa2t laa
7lwaa,Menen
Hahaha,Asl 777Ana dkhlt w 3mla kda 
W msh fahma haga,W msh arfa akhod eh
Fee colors Tanya a??,Ah walahi
Black bs,D Ana 3yza menha
Show me Kda l awl,Okai fe mnha sizes
Asghar size 39 bs helwa Alia,Tyb e7k
Enti 41?,Heya a da
Ad a*,3aleki 39 as 38?
Ro7ty fen,Aywa heya dddd 
Bkaaaaam ,Gebtahaaaa
Di aham mnn Ai haga Tania!!,Hahahahaha
Aizaha mnha?,L shoes bkam
3ndi bt3t fr7 guess,Bkam l heels ya wlya
Black bs I guess,3yza menha
41 Enti?,Gebti a Tani
Lw enti 39 then yeah,Enti asln 40 right?
A Tani ,Ummm erba tiger 
W a kaman,3obt WWII
Awiii,Yea
Banta2em rafaye3 ,A kamaaan
Nada,N3m
Vegas?,Begad?
Ah wlahi,Kefaya 3eyat
Bt3mlo a nemto,Bntfrg ala Germany got talent
Wento,Oki
Da olili eh,Et3'ty b3d Kda
Knt arfa enik ht2oli kda ,Nzlti viber?
Kant 7l2a wla b sha3r,Wait 7nzlo now
Laa kan tawal shwia,Olt l nafsi maybe ashan kda waf2 yrga3lhaa 
Nazli halal,Halan
Om m gat?,Bnzlo
Ask mommy tetl3 l 3eish twadi fen,Oltilha 3la let's lags wl freezer?
Yes,Bs l 3ish twadi fen
El3esh el adeem t7oto f Kees w t7 too 3la el basket bara,Ay 7ad 3ando frakh yenfa3oh
Okay hwa mafish 3eish asln 3'er shwya tiny,Khales tenazamo low ayes bec. She is leeward
Betkarwet,Hahaha Ana MSH 7a2olek manzar freezer 3amel ezay
Om Amira Gaya emta,Eh?
Da kids b3d mtrw2 ,Om Amira Gaya emta tzbto b2q
Om Amira law 3ayzaha teegy Monday,Kalmeeha today 3and Beero now
Tigy ask mom Kda!,Ana mum aslan
Tigy tyb wla a,Yeeh
Idk tigy ttbo5 l Papy w doody,Ah
W ta3ml el Tallahassee,Talaga
Talaga,Wenti fain bokra?
Oli,Tetbo5 a
Tigy bokra,Ana bokra 7rw7
Ol2as nos Kees,Wavy kaman kam Yom isaa
Toz,Roz
Wagy,Skhdf b2olek plss lw la2ety l Mizo belt zy l kona gybino men lefties da Swirili kdza
W shoft lama b osa,??
Ya Lolo,Ezay Kda
Ana awl lama shoftaha a3dt Adhak ,W wahda waraha Tania senanha tal3a bs marftish aswrha
Hahahahaha ya,W a Tani
Adf3lk ya Wlya,Love za braclets
Amaraya,Ask mommy Kda car sho3'l byigy sa3a kam
Bta3t Mummi at 8,El Tania 7:45
Adf3lk f Dina w Zahran wla a ya Wlya,E7na ry7in today
M3aki number sawa2?,200 t2reeban
Okai edf3ili,Atra
Ask mom fee floos fl bet?,3shan Ana l m3aya yadob 7df3hom
Bt2olik l eh?,Tani dorg taht tv
Ask mommy azbt m3 meen l bud,Bus wala mummi's car?
Msh maaki number el sawa2?,L2 tell her l bus l 7ygili 3nd bety
Howa ya bus el konti btrkabi or el car,Khalil driver
Da sawa2 bta3ik,Law aiza car call Tunt safa
At 8,L 7yigy t7t bety Ana
Nadodaaaa,Ya say3aaa ;)
3mla ehh f belaad barra ??,Hahah roro
Elhmdl,Enti 3mla eh
Tb3an m2dyaha seya3a,Alone ba2a ;))
gotten bakht,hahahahaha
wahshtini ya safla,Wenti kman ya siso
3mla ehh,hayatyyy
gedoo ta3bann ed3iiiloooo,plzzz
Rabena yshfi yarab,N2sako koloko
habibiiii,yayyyy
hatilii haga helwa mn henak ,hehehhehe
Haha okii,w etfss7iii kedaaaa
haaa,w embstyy
Raiha zoo now ,oppppaaaa
"Oksem b allah entii wa7shaniii gedn w lisa gaya fi baly 7aln w f3ln nafsii ashofik awiii fi a2rb wa2t wl wad yoyo kmn wa7shnii awii w wa7shtniii sha2wto awiii rabna ye5alholk yarb bgd entii ""Sha5sia to7fa mn gowa"" bgd bgd bgd 7awly tegyo",w wallhy el 3azeem enty wa7shny gedn w 7ata es2li ma7moud kol ma yegelo meshwar fe cairo a2olo 7'odny m3ak ye2oli w asebk fen? a2olo 3an d Amira..wallhy b7s enk sa7bty w o7'ty
7odaaa,:)))
Naniiiii :),enta ale 3amel eh?
Kont bfkr fky enhrda el sb7 wlhy,3mla aaaa :)
Ana tmm wlhy e7l,Enty a5brkkkk tmnny 3lky ?!
W7shny gdaaannnnnnnnn b2a,enta aktr wallhy
ana el7amdoleallah tmam,sh2y :(
kowaues el7amdo lealah,Wa5bar yoco aaaaa ?!
Malooo :D,eb3ty le swer betk now
bkarkabto w kol 7aga :D,allah ana msh b3thulk :D
laa ana 3ayza now :D,k2ene zoryak fag2a 
Tayb w8 :D,Hahahahhaha mashy ya nani :D
heheheheheh 7elwa?,3iza tshufy el bent y3ny :D (A)
Franswya,Akid 7elwa :D
<media omitted>,:))))
enta btbat lewa7dk keda?,Aywan
awya aho henak :D,Msh shyfa el matba5 :D
bravoooo,Tyb aho :D
3mlt enhrda sdo2,aked to7fa
sodo2 fransawy ba2a :D,zy ale kan byklo batot keda :D
Hahahhahahhhahahhahhahhahahhaha,Enty bhdltny d7k
de7kt bondo2 bta3t de  :D wa7shtny awe :(,:)
Hahahahhaha :D,Enty aktr wlhy ya naniii :((
Wlhy ya bnty knt z3ln awy eny msafer w mshftkysh asln,howa 3ed melad lamis enhrda?
Ahhhh sa7i7,Bas msh 7kteb 7ga
3shn hya m3brtnysh f 3id milady,ahh fokak
eh a7'bar elkolya?,Tmam aho
b7awel amashy 7aly,Bas fy madtin a3uzo belah y3ny
:)) rabna m3ak ya rb,Ya rbbb
Nada,Hai
Nzlna men 3bd Dina,Ento 3mlto ap
A3di f blacony,Aha
Bas kda,Wento
La I mean today,Hahaha
Gebto a,Sob7 home thn Dina w now fat7ala q mrw7in
?,Hi bety
Ana omek,Mommy hai 
Ahlan,Eh el7alawa free
Hahahaha,3mlin a
De*,???
Elkalam,Ekalam ento
Bt3mlo eh,3nd Eiman w zips
Kona bna5od course honeymoon,Ento 3mlto as today
Now fee w7da klmt I sob7,3shan dress
W bt2oli en 12 da kteer awi ,A3ml feeha a?
Aleltlik hatkhdo bkam tib,"Ana mum , 40 keteer awiiii"
Baba w dody 3andek?,La MSH 7t5do heya 7t3rdo 3ndaha
Awi awi,No lsa magoosh
?,Papy kan lsa m5ls sho3'l men shwya
Wento 7atroo7o 3andena emta?,Good
3mlto a today,Ma3rad
W 7t3mlo a,Now 7anenzel nakool w shopping
Gebto a yesterday,Hagat Bastia 
Ana Skhdf,Hahahahaha zy a
Shopping w kda,El coats hena msh ad kda
Aywa gebto a,Fe wahed shofna
Gebto a yesterday ya Wlya,Kda yaani
Wait now msh hainf3,Belil
Ashan now lazm nlbs,Nazlin taklo
No lazm nlha2 shopping fort,Ahh okay 
Wla jeans?,Fi colors b8
B 9,L fekra Ana 5yfa mala2ish money for shopping honeymoon 
3ysa akid,Tib lama albso hakhod pic w a show you belil
Law aiza agblik tom,Rabena ysahel :D
Law mala2etsh she shebsgeb l Amir  ageeb lo shirt or pull?,Lw fee shoes black 7lwa
Bt3to etbhdlt,On ash or leather
Omash,44 msln
L homa l loafers l 3adyin,Bosi ay lo2at
Ana aw Mizo,Tameni Papi en ehna kalemnako w belil hankalemko isa
Nazlin Mel bet ry7in l bet,Gayeb e7l e
Eh 3mlto a today,W a gebto a?
Alooo,Msh hagat ktir
Ashan eh bt2olik,Meter mnn 55 l 65 hasab model
Skhdf ask mom 3l ragel bt3 satayer Masna3eyeto kanet kam fl meter ??,Wasalto?
Naheel bts2l,Lsa tal3in Aho
Show mee gebto a,Bosi el coat da
B2ol l Mummi kbir,Da medium
Bas msh bi2fl,I said Enti kda kda msh bt2fli
Wala ehh,Da men primark da brdok
Meen,Ahh bc
Lsa,Gebto a ?
Ya mosahel ,Walahi mafakara 
La2ni gayba pullovers t5ina,Okai ageeb da wala nbos tani?
Bkam hwa,Bkam l coat
W d l pants l b 8 ,B 9 w 10
Gebti nebeety?,Send awl pic Tani
P peach w pink do Kda blz,Lsa msh la2ia 12 :(
Ana f moshkela now,L coat bkam oltili
Papi feen,Shet
Lsa mwslsh MSH 3rfa Leh,Khali yrod whatsapp
Eh mshkila.,Viber is not working here
Ah,Moshkela en 49 y3ni 450 
L 3amal yzid kol Yom da,490 
A7ih a7ih,Shofi Henak ya wlia
La 7ashuf henak,Bs l pants 7lwa
Papi feen ya wlia,Dk wlahi
Aho ga,Ento feen ya nada
Howa msh m3ako ,Hwa kan b bike
Khali yrod ala whatsapp,Oltlo
Gebto a brdok ,Hi nedwa
Mommy,Kolena kwysin e7l
Enti 3mla a,Tamam
A5bar germania a 3la 7esek,Folly
Folla,Ento eh?
Ah mfrood isaa,???
Shaklik fl sora,Which fr7
?,Fr7?
Which soora?,Elfeeling el Enti ba3taha
Ahh asl 7nzaker w ns7a bdri,F b7awel astw3b
Byigy sa3a kam,Meen feehom?
Mine 8,Yes urs isaa
Aru7 l meen b2a fl sheka azbt l bus,Olly l inky ask her
Inky,Injy
Ingy Hany?,Blanca 3ataset f weshy
Ow,Injy hany yes
Dlw2ty today dr Islam sales manager europia,Kalem Amir ys2lo 3l wr2
W 3yz l wr2,Da a b2a
<audio omitted>,<audio omitted>
Yes Ana sm3ako,<audio omitted>
Men 3nd Mizo 3ndi mesh rady,<audio omitted>
<audio omitted>,Nada
Saba7 l 5eir a5tshi,"Skhdf blz eseeli l pantalon l mint wl dark green lw pink l ft7 ""simon"" w show me akalam"
Tell mommy b2ali yomen m3dty bt2lb awii ,Obaaaa
Ask her Mel sahar mmkn?,Dina Ramzy pregnan
Ya lolooooo ,Yaraaab Enti kman bass
Baaa*,Atl3 honeymoon tyb l awl
Ask mommy Ana esm l share3 bta3i a Kda,Share3 eh
L Ana Sakna fe,Bs 5alas
Tell mommy a2rb bus f abu2ir,Tram ashalik she said
Mafish tram,Shofi Ai bus
Ahmed desoki hena m3 ezz yashar,Salmili 3aleh
Ana olt a2oloko,3rfty menen eno henak
Ezz da al l Mummi,Ahh :D
Tb yala shedi 7elek,Etnayeli 
Albti German 5las,I go asi3 shwia 
Work ,L oltlk 3aleha
3shan ashuf dy2 wla a blz,Green 3'ame2 mint w pink fate7
Wahed fl breakfast Ali Sabah el Kheir,Ba2et lebenese wana msh akhdt Bali
Akhda*,Mabrook
Yala 3l Bataks,Hahaha
Hwa menen,Bataks ah
Howa masri w gaza2ri,W German mnn el wadeh 
Msa msa,Hahah
Kol haga,Mohagan
Yala 3shan mt2olish 7rminek men 7aga,Yesterday fl cphi shoft wahed German 3azim Shabah Barney Stinson Bas ahla 
Wana el howa ahh ,Hahahahahaha 
W homa bitklmo f medicine w shit Ana msh fahma ,HAHAHAHHAHA
MSH konti d5lti Saydala,Ah ma wahda Tania aletli shaklik ala Akher cphi hatghari your mind
Hatghaiary fen ,5odi shehadty
Hia laziza gedan mnn France Bas mawloda f morocco,W msh btfham arabi awi
Aw btestahbl msh fkra,Meen dol 
Hahahahaha,Cphi brdo
Aletli awl Mara hia Tigi this year,Olelha Ana adima awi
Oltelha laa Ana kol year baroh w Ana asln fin ears ,Fa aletli hatghayari fl akhd
Akhr,Oltelha no me laa
Bas my sister hia el like my mum,Ana malish d3wa 
Mashy ya cool,:F
Anzl now tftekri,Law toht yeb2a a3rfo en I love you Guys 
W s3t f nafs el wa2t,Show me labsa a 
Roo is asking l rouge l fl pic menen,Msh fkra Bas fe hena law hia aiza tell me ageblaha
Lsa bfkr,Did you get anything?
Ah 7lw,MSH 7arod 3aleki
Hai,Ana 3gza dozen doughnuts Wenti Gaya
Glazed mainly w shakeli l ba2i,Ya2ema 7klk
Bel doughnuts l enti kaltiha,Bakol now tani law aiza
Gayaa emta ya day3aaa,Sunday isa roro
Yaaaayy isA,Hru
Ehh a5bar akl 3ndkk,Hmdlilahh
Hassa enkk btakli bs,Hahaha bakol tb3an w bamshi tool el youm 
El rouge el entii htah fl pic da,Mneen
???,Mnn hena
Hageblik,Edaa allaghh
da wa2a3 3aleh,Ezay m3rfsh
Wa2a3 ehh?,<audio omitted>
Mw23sh,<audio omitted>
<audio omitted>,Fadaky
E7l gat 3la ad Kda,gat fee
El audio wa2ef,Allah try Tani Kda
Y'all'a,Mesh 3ayez
7awly entry,Enty
Ah e7l rabena bystor,Bs not now b2-
Baba nayem?,Leh?
Mommy send me 3m m7md's number,MSH 3rfa 7yt3aknen
Meen Mahmoud,Not Mahmoud
Dody nayem?,No Papy byzkrlo science
Yeas w lsa madarabosh b3d e7l ,Eh el7alawa de?
Hahahahaha by7wlo,Amir 3amal eh?
I'm sending an audio note rad l so2al da,B2olej
Ha,Ana me3dety b2lha 3 days bt2lb 
Tool Elyoum?,No sob7 awi b3d l akl
W blel b3d l akl,3andek bard in stomach?
No bs lama bakol,M3dety bt2lb
W sob7 today Kant alba awi,W blel awl embr7
W now alba awi,Starts tody
Today*,Lsa bs da men a b2a
?,L white b2a pink
Da 3ady,Dah Bas?
Entry 7ata 7aga 7amra?,L bt3 l red f orange
A7ot vanish 3l 3'asla l white?,Fig haga Tania ?
Yes 7oty,Tshirt doody l mosab l wa7if
Da7ya,Wa7if?
Baba fasal menny . How's nam?,No sa7i
A3mlha 3la awl cotton 5ls l fl nos d?,L heya awl mbft7 btb2a 3'asala already 3aleha
??,No elly ba3dahs
Hwa Papy Malo,Za3lan men dody
Bs doody by7awel ysl7o b2alo shwya,Etdakhaly enty
Howa baba mam?,Nadaaaa
Homa d5lo Unami,Unami
Ynamo,Ana kaman 7anam cuz MSH adraaaa
Sa7eto??,Doodi ra7t 3aleh Nina
Noma*,N3ml a?
Baba 3araf?,Etsal7o embare7?
No MSH 3yz y2olo,And MSH awi doody tried kteer
Ento merawa7een emta?,Today isaa
Hai Ana Skhdf ,Dnaden l sfla
Don't wear boots while shopping today ,Matigo today 
Hahahah it's cold,Nigi feen 
Kfaya y3ni,Lsa shwia 
Bt3mli eh,Wenti???
Ento mashy in when,Mommy ra7et l hotel
No Mummi cphi,Ya gamed
Ali,Malo?
Alo*,Ento fen dewa2t
Mashyeen m hotel,Rag3een let any
Yeas manshya,Mashya*
Enti 3mlti a today,Nothing nzlt ermashit shwia w Gebt rafay3 then rg3t
Nada,Hi baba ma3aya 3 l tango
Haii,Mal viber?
MSH 3rfa,Elkalam what's new
Ento 3mlto a,Shopping w etmashena lhad lama reglena ekhtafait
Da dark green,El pink fateh wehsh
Bibain kol details fl legs ,Ah 7lw
Dy2 awi?,Kazer
Ahu,Wsl?
Yow,Akalaaam
Eh Enti,Tl3t b3rf ahot makeup
Tb e7l,W Gebt foundation maybelline
Ashan ysabet ,Makeup mo7trm r5is 3ndoko?
I layet,No msh awi
Bas fe haga price bt3ha helw,A heya
So habal,A l price bt3ha 7lw?
Usef,Yeah Papi mshaghalo w howa bikalemna
Sm3ty lsong,No sm3a bl3afia
3azima,Bfkr a3ml a cake w nro7lo tomorrow
Mummi bt2olik sleepover w rohi m3 abd el moti,Tyb ask her Kda abdmoti ykun 3rf number l saw2
?,Aw ykun 3rf l sawa2
???,Ya waleyaaaa 
Gay,Hi nada
Okay 7ader,By2olek 3yz raqam l flight
Fzfp,What about dawa bent Mohamed and aziz
??,Bt2oli fe raqam Dawli tklmoha 3aleh 
Rodo 3aleha,Klmtk?
Aloooo,No mgbtish w I forgot the heels 
Kadavaaa,Ah walahi
Tyb gebtoli a ,Bsor3aa 
Walahi ask momma oltelha  ageeb l 777then fkra I said 8 hours Akeed haisih,Gebnalik eh
Nadaaaa,Nazlti leeh 
MSH 7ynf3 ya fashla asks ,Mizo fen 
Hena w bi2olik mkontish tnzli,Brdo
Olilo Mizo lazm ya Mizo ,Hahah
Hahahahaha,Lazm asrf 3l 3yal
3yal meen yamo 3yal,Shofti l video l b3thoolek?
Hashofo now,Kmyt de7k
Ha shofto,Hahaha shabah mhragan el 3lba el zahabia
A da l a habaho,Bassem usef l video sa7
Eh?,A7ih a7ih bt3ml Kda Leh m3aya shar3eya tmshi no leg
Aywa song bassem usef?,Wla fata7 7ga Tania
Aiwa yawlia,Hahahahaha 3azima
Ah sm3tha ,Kant episode 3azima 
Btigi when?,Taslya fl 7azr a5iran
Ya hmara,Enti btigi when 
Ahh 5 ,Tib lama Tigi wake me up
Hahah leeh btrohi ,Ah we all grew up
Dude ro7ty college,And I can't think 
Hasa eni aiza a3ayat Bgd,Mmkn a3ayt now
Asl andi period ,No fokek men emta 
No I mean men emta btt2sri,Ana mdai2ni awi Sohaila w Raghda !
Aktr 2,Raghda called me yesterday t2oli heya Skhdf rg3t?
I thought Sohaila awl lama arg3 she'll call me w kda,Mklmtsh 7ad ferns
S2lt alaia yesterday,Feena*
Mkanoosh 3rfin enk rg3ty,Law bis2alo Kano arafo
W aktr wahda mdai2ani Sohaila,A l 7asl bzbt
Da el nas el msh close sa2alo!,Nas barely bntkalm w nas b2alo ktir mtklmtsh w s2alo
Homa Kano gayenlek yesterday f2ln,And they asked 3l group enti rg3ty wla la2
Da eh ehkili?,Mahoma my3rfoodh enti wslti when
Wana Mali bl group,Hia msh mafrood Sohaila tklmni hata wala eh?
Anyway golem,Law Kano bis2alo w they cared Kano arfo
Enti feen,Bs ymkn Kano 3mlin 7sabhom enohom gayenlek
Meenas klmtk?,Meenas yes
Abl marg3 asln,W hanhdar Tuesday together w kda
Mmmmm MSH 3aref b2a,W b3d Kda what happened with Raghda
Rowan w sisi klmoki,3ndk mashroo3 soon?
Lsa arfa now andi mashro3 design,W 9 mashari3 working !
W lsa m3rfsh el ba2i eh,Ana msh arfa h3ml eh
Haga Khara,Kol Yom shwya
Kalt akl embr7 Ana ,Aktli eh
Aklt roz bashamel bel besla w gazer w la7ma mafrioma,W she3reua w deek romi
W kofta w fa5da,W cake 3azina Kda 
:),L cake fo2iha kolaha faqakeh w 7etat cake glace w m3aha chocolate dip 
Eh ya nadaaaa daaa,Yakhrebet el halfana
M3zomin 3l 3'ada kona,Bs mkltsh kneyat awi
Aha tib good,Hahaha eqtn3ti Kda eni mkltsh kteer 5las?
Ah mmkn ,3aziiiim
:D,Da mnen
Getti ???,Ah yakhti w mahadish 3brni feeko
Hahahaa,Gettii when asln ??
Ma aho bs2al,7 am
Edaa really !!!,Ana fakra beliiil
No,Hmmmm
Hmdla 3la slamaaaa,Masrr dalmttt
Merci ya cute ,Haha di haqiqaaa
Bs she told me ya Zahran ya car4 ya metro ,7asa fl a5er 7ytl3 men ft7ala
Hahah,7b2a agino isa w ntbo5 bee Yom l Chinese 
Yes aizin n3ml Chinese day,What za ell
:)),Wageb el Ana mstania
Y3ni a,Tell her simply enk lama heya gat men sharm ro7telha f tonga
Yomha*,W rohtelha Abl mat safer
W raiha sharm!! W 4 days,W sohayla a?
Fokek dude Ana get bet 3ndoko 3shan ashufko,How awesome am I
Ana mdai2a awi ya nada,Fokek wlahi she's weird men sa3t ma na5lawi ra7 geish
MSH m3ya bs b7s 3l group,Msh hia Bas !
Sohayla kaman?,Mayewla3 nakhlawi al geish
Msh Walloon,Esloob tetkalm bee
Fee 7ad Tani brdo didn't call wla homa bs?,Rowan bs hia el 3baretni
W Meenas,W Ana w Mizo 
malek sakhifa lih,Msh sakhifa 3adii
tb enty fiin,Home
a3da,?
Yes,wala hatnzli ?
matiigi ncruze,I can't andi projects
elbsi ya bet yalla ha3dii 3aliki,nlflf
ana today tani yum akhrg mn sa3t 3id,Andi shoghl ktir
knt basm3a,w eftkrt out performance hahaha
We performed feen,fel cars
roastry,kareokee
Waw kol da,dehkk awii
Etfadahna yaani,yess yakhty
bokra waraki eih,College yakhti
:/,allalalalla
wala ga el yum akhiran hahaha,Youm eh ya habla
enk truhi clg ,Hahah
Bokra chilis?,Wala eh
aywaaa bliiiizzz,Mmkn I miss it
Eh da badri leeh,Ana lsa nzla clg now
Ra7et 3laya Noma ,Ana kan andi mnn 9 
Bas raiha now,Seka aham awi
Zahma*,Awi
Hai Bosi ya mommy fee d l bonbonera,W gali d
W fee dol,Wasal sora wahda Bas
Fain bonbon era?,Anhi l enti asdk 3aleha
awl w7da,Fain awl wahda?
Mawasaletsh,Lama oltili wsl soora wa7da
Heya d,Fih other in left bogs it
Bofait,MSH d?
Seneya,W berwaz l b3to da
Ha akalam,Ya Lolo
T3banaaa ,Slmtk dude 
aiwa w b3din,Aiza Akhef 
Rohto?,Yes waslna Aho
Howa lama Gebti l plate w fries kan bkam,45 haga kda
3mla a now??,Better elhmdl
Naima 11,W kman andi college
Rohti work?,Tyb tell me when ur done Kda w nzbt together
Nadooo,Hru hyatyy
Roro,I'm good
Wenti,Maleekk ya nadooo
Msh 3gbaniii,W yom lma ashofhim f car4
Entii matgiish,Malish walahi 3adii
Kan andi shoghl ktir,Fa m2adrtish
W sho3'l 5alaas ???,Howa 3mro bikhlas 
Lsa fe balawi,Bas aiza anzl chilis aghayar age
Gaw*,Mashii ya nadoo
Enta to2moor ;)),Haha
:as,:D*
Koko 3amlaaa eh,el7l tamam
wnte,Tamam 3amlti eh
3andi 7 8altat 8er ely lsa marg3thomsh :)),Hhhhhhhh w mn sam3k
da emt7an m3fbn,Ah
Awiii,wlmr bt3ana howa ely kan 7ato
Ab3tli rakm el canter,Asmo eh
5927354,Mashi ya 7oby merci
Mafish saidalia next to you?,La fee
I meant Mel bet,3shan bansa
Eh,:D
Hahahahaha,MSH 3rfa
Malik bs,Nour bt2oli aiza anzl b3d kolia
A2olaha Tigi 3adi?,Bt2oli nfsi ashof nada
Mashy akid bc,Okii
Dingdingdingdeding,Hai
Hai ,Mizo bys2lk gebti l bda3a?
Ento fen??,L watch n3ml feeha a
T3mlo feeha eh f eh,L battery d
Ok,Dingdingding
Salmili 3la dodii,Hahahahaha
Ana aiza!!!!,Bydaye2 awi
Ana lazm a3ml,Enti feen
:(,Knt aiza Aroh m3ako
Enti leeh amlti asln?,Mrw7a
3shan yrkb crown,Di yellow?
Lsa no color,Dude y u no 3brty Raghda men yomha
Ana mtbahdla fl kolia,Haga Khara
W anam washa bdri wanam fl nos,Msh tai2a nfsi
Whatsapp msh shaghal Bgd?,Shaghal
Makanosh,Sha3'al now Aho
Enti fen now?,7lmt Biki enti w walaa 7lm 
Hahaha walaa Radwan?,Eh howa ehkili
She had a crush on u ,HAHAHAHHAHA 
Tell her hahahah,Oltlha on instagram
Enti MSH mfrood 3ndk wedding?,Msh raiha
Andi surprise kman shwia,W lazm anam
Wait lsa bytb3to,3amo m7md gy fel sella
Gylko,Yeah
